app_name,price,avg_rating,rating_count,size_mb,primary_genre,content_rating,language_count,has_iap,has_support_url,min_ios,is_game_center,age_days,update_recency_days
Insight Timer–Meditate & Sleep,0.0,4.89567,430515,258.209792,Health & Fitness,12+,9,0,0,15.0,0,5858,3
Headspace: Meditation & Sleep,0.0,4.84407,973946,957.775872,Health & Fitness,4+,8,0,0,15.0,0,5039,2
Calm,0.0,4.77492,1914686,183.159808,Health & Fitness,4+,10,0,0,16.0,0,4653,13
Balance: Meditation & Sleep,0.0,4.8819,117765,179.011584,Health & Fitness,4+,1,0,0,16.0,0,2270,9
Waking Up: Meditation & Wisdom,0.0,4.92281,41833,117.654528,Health & Fitness,4+,1,0,0,16.0,0,2616,22
Medito: Guided Meditation,0.0,4.90225,3734,91.496448,Health & Fitness,4+,1,0,0,15.0,0,2042,6
Open: Breathwork + Meditation,0.0,4.88861,11671,194.833408,Health & Fitness,4+,1,0,0,16.0,0,1756,1
"Mo Meditation, Sleep, Recovery",0.0,4.50774,2322,148.245504,Health & Fitness,12+,9,0,0,16.0,0,1624,1
Mesmerize - Visual Meditation,0.0,4.73376,50917,278.431744,Health & Fitness,4+,1,0,0,18.0,0,2370,4
"Aura: Meditation & Sleep, CBT",0.0,4.67039,34377,250.36288,Health & Fitness,4+,1,0,0,14.0,0,3327,9
Happier Meditation,0.0,4.81848,141600,94.978048,Health & Fitness,4+,1,0,0,17.0,0,3818,1
Plum Village: Zen Meditation,0.0,4.95942,3573,79.113216,Health & Fitness,4+,7,0,0,15.1,0,2621,24
Breethe: Sleep & Meditation,0.0,4.73104,64858,164.819968,Health & Fitness,4+,2,0,0,15.0,0,3899,7
"Meditopia: Sleep, Meditation",0.0,4.85194,21843,109.442048,Health & Fitness,4+,15,0,0,17.0,0,3221,21
InnerNow: Meditation & Joy,0.0,4.86713,39437,59.174912,Health & Fitness,4+,1,0,0,15.1,0,1907,87
Meditation Time 2.0,0.0,4.77025,2938,165.198848,Health & Fitness,4+,1,0,0,15.6,0,4326,321
BetterSleep: Relax and Sleep,0.0,4.74817,386026,385.183744,Health & Fitness,4+,10,0,0,15.0,0,6041,6
"Simple Habit Sleep, Meditation",0.0,4.80548,77905,210.561024,Health & Fitness,4+,1,0,0,12.0,0,3519,338
Smiling Mind: Mental Wellbeing,0.0,4.76117,4945,44.38528,Health & Fitness,4+,1,0,0,13.4,0,4798,36
Unplug: Meditation,0.0,4.84973,6169,80.713728,Health & Fitness,12+,1,0,0,17.0,0,3213,10
Oak - Meditation & Breathing,0.0,4.83601,31435,189.022208,Health & Fitness,4+,1,0,0,11.0,0,2942,2046
Meditation Studio,0.0,4.79214,9030,68.004864,Health & Fitness,4+,1,0,0,12.0,0,3626,1002
Chakra Meditation Balancing,0.0,4.76346,5665,323.827712,Health & Fitness,4+,6,0,0,15.6,0,4179,6
RESPIRA: Breath & Meditation,0.0,4.78341,217,149.784576,Health & Fitness,12+,1,0,0,12.0,0,1430,65
Slowdive | Meditation & Mantra,0.0,4.64839,8211,305.046528,Lifestyle,4+,7,0,0,16.0,0,3226,3
Meditation Nest,0.0,4.67167,31170,50.895872,Health & Fitness,4+,1,0,0,11.0,0,2313,1671
HypnoBox: Hypnosis & Sleep,0.0,4.71892,1110,137.28256,Health & Fitness,12+,5,0,0,14.0,0,3016,3
Sadhguru- Yoga & Meditation,0.0,4.91727,17286,180.503552,Health & Fitness,17+,1,0,0,13.6,0,4892,3
Meditation by Soothing Pod,14.99,4.79542,8637,76.43648,Health & Fitness,4+,1,0,0,11.0,0,1954,1263
Relax Meditation: Guided Mind,0.0,4.71384,8988,315.355136,Health & Fitness,4+,9,0,0,10.0,0,5682,1665
Meditation | Down Dog,0.0,4.91017,15540,79.8208,Health & Fitness,4+,11,0,0,12.0,0,1809,338
Petit BamBou: Mindfulness,0.0,4.85862,1832,61.96224,Health & Fitness,4+,6,0,0,14.0,0,3994,0
The Mindfulness App,0.0,4.7534,7271,104.851456,Health & Fitness,4+,13,0,0,15.0,0,5404,15
Sattva Meditations & Mantras,0.0,4.82219,10737,285.003776,Health & Fitness,4+,6,0,0,15.6,0,3986,21
"TIDE: Sleep, Focus, Meditation",0.0,4.82961,8193,425.391104,Health & Fitness,4+,5,0,0,16.0,0,3564,0
Abide: Bible Prayer Meditation,0.0,4.87194,120468,556.915712,Reference,4+,1,0,0,15.0,0,4271,6
Lumenate: Explore & Relax,0.0,4.69264,5710,446.10048,Health & Fitness,17+,1,0,0,15.0,0,1733,0
